GOODS_NAME,SHOP_NAME,PICTURE_URL,GOODS_PRICE,SHOP_URL,GOODS_URL
"
妈妈装夏装套装雪纺假两件中老年女装中年人妇女40-50两件套短袖
",美妮辰旗舰店,http://img.alicdn.com/bao/uploaded/i1/TB1PibBMpXXXXcvXpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,59,http://meinichen.tmall.com,http://detail.tmall.com/item.htm?id=529541024248&skuId=3154504448687&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=1720979739&is_b=1
"
40-50岁宽松大码真两件套
",水卉曼旗舰店,http://img.alicdn.com/bao/uploaded/i2/TB1O1YVJVXXXXbxXpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,79,http://shuihuiman.tmall.com,http://detail.tmall.com/item.htm?id=16160872060&skuId=82758444261&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=749551844&is_b=1
"
韩版春夏直筒高腰显瘦大码七分裤
",姐妹星旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB10cvAJpXXXXX3apXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,59,http://jiemeixing.tmall.com,http://detail.tmall.com/item.htm?id=528532098787&skuId=3146557946160&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2273188552&is_b=1
"
韩誉夏季蕾丝连帽防晒衣
",韩誉旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB1vQtLHpXXXXaoXFXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,55,http://hanyufs.tmall.com,http://detail.tmall.com/item.htm?id=42620637484&skuId=80557113019&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=1865084005&is_b=1
"
连帽宽松纯色大码沙滩服
",轩而美服饰旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB1Eef8MpXXXXchXXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,119,http://xuanermei.tmall.com,http://detail.tmall.com/item.htm?id=529466813431&skuId=3153523003802&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=1973649689&is_b=1
"
夏季高腰薄款宽松雪纺大码阔腿裤
",恒辰服饰专营店,http://img.alicdn.com/bao/uploaded/i3/TB1H.MlKpXXXXX7XVXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,49.9,http://hcfushi.tmall.com,http://detail.tmall.com/item.htm?id=532220364283&skuId=3175442096947&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2165738738&is_b=1
"
蜜妃儿女装夏装2016新款潮韩版交叉领纯色t恤女短袖宽松半袖体恤
",蜜妃儿旗舰店,http://img.alicdn.com/bao/uploaded/i7/TB1UxZnJFXXXXcQXFXXYXGcGpXX_M2.SS2_b.jpg,48,http://mifeier.tmall.com,http://detail.tmall.com/item.htm?id=531489342229&skuId=3169501572911&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2192876822&is_b=1
"
莫代尔v领女士白色大码打底衫
",芭黎密语旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB1KeM8LFXXXXXkXFXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,59,http://balimiyu.tmall.com,http://detail.tmall.com/item.htm?id=527539288764&skuId=3139234368691&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2030528091&is_b=1
"
韩都衣舍韩版条纹印花宽松百搭t恤
",韩都衣舍旗舰店,http://img.alicdn.com/bao/uploaded/i4/TB1RCQNLFXXXXXSXXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,88,http://handuyishe.tmall.com,http://detail.tmall.com/item.htm?id=527383301593&skuId=3189603156417&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=263817957&is_b=1
"
春夏超薄连帽大码沙滩防晒服
",娇兰恋服饰旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB1YOufMXXXXXcEXVXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,49,http://jiaolanlianfs.tmall.com,http://detail.tmall.com/item.htm?id=528625998937&skuId=3147531092818&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2197397238&is_b=1
"
中老年女装夏装套装中年人女装短袖T恤裤子40-50岁妈妈装夏季套装
",蒲洛妃旗舰店,http://img.alicdn.com/bao/uploaded/i4/TB1XL8KKFXXXXa8XXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,79,http://pllofee.tmall.com,http://detail.tmall.com/item.htm?id=44569199253&skuId=86757003347&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=1749308132&is_b=1
"
夏季韩版高腰显瘦大码包臀牛仔a字裙
",缔花之都旗舰店,http://img.alicdn.com/bao/uploaded/i1/TB16_0DKpXXXXaOXFXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,89,http://dihuazhidu.tmall.com,http://detail.tmall.com/item.htm?id=525932274868&skuId=3130593551145&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2272181397&is_b=1
"
洛禾夏季白色修身显瘦衬衫
",洛禾旗舰店,http://img.alicdn.com/bao/uploaded/i4/TB1XdQOMXXXXXX7XVXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,75,http://lowriver.tmall.com,http://detail.tmall.com/item.htm?id=520393437940&skuId=3101889302300&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2277589222&is_b=1
"
高腰宽松阔腿胖mm百搭显瘦休闲热裤
",stylegoodyou旗舰店,http://img.alicdn.com/bao/uploaded/i4/TB1FcDKKFXXXXbyXpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,69,http://stylegoodyou.tmall.com,http://detail.tmall.com/item.htm?id=520545720587&skuId=3102583817057&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2231794836&is_b=1
"
夏天竹节棉印花大码宽松学生t恤
",韩姿瑶旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB1_vV1MFXXXXa6XXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,49,http://hanziyao.tmall.com,http://detail.tmall.com/item.htm?id=530379471305&skuId=3170624920713&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2116239176&is_b=1
"
学生毛边韩版宽松大码高腰阔腿热裤
",纹语旗舰店,http://img.alicdn.com/bao/uploaded/i4/TB14ggDKpXXXXb4XpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,49,http://wenyu.tmall.com,http://detail.tmall.com/item.htm?id=531990471328&skuId=3174423512041&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2883547502&is_b=1
"
棉麻大码彩色薄款亚麻显瘦七分小脚裤
",ksz旗舰店,http://img.alicdn.com/bao/uploaded/i2/TB1CZ0NKpXXXXaPaXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,58,http://kszfs.tmall.com,http://detail.tmall.com/item.htm?id=532132282803&skuId=3174339871507&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2095802887&is_b=1
"
妙雨莘2016新款短袖t恤女宽松大码女装白色t恤女体恤半袖夏款t桖
",妙雨莘服饰旗舰店,http://img.alicdn.com/bao/uploaded/i1/TB1EWl8MFXXXXXpXXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,69,http://miaoyuxin.tmall.com,http://detail.tmall.com/item.htm?id=530380214542&skuId=3159396477000&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=1986925777&is_b=1
"
夏装半袖新款莫代尔棉短袖t恤女纯色上衣大码女装白色体恤打底衫
",芭黎密语旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB1fu5RLVXXXXXwXVXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,59,http://balimiyu.tmall.com,http://detail.tmall.com/item.htm?id=527511742223&skuId=3138823211980&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2030528091&is_b=1
"
宽松t恤女短袖韩范卡通体恤打底衫女上衣韩版女装夏装2016新款潮
",微晴旗舰店,http://img.alicdn.com/bao/uploaded/i2/TB1y_KhMpXXXXaqXFXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,49,http://weiqing.tmall.com,http://detail.tmall.com/item.htm?id=529326347249&skuId=3156819816383&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=1801268430&is_b=1
"
松紧宽松显瘦黑色百搭夏季薄款哈伦裤
",lt旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB1KI_RKpXXXXX6XXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,59.8,http://likenertrend.tmall.com,http://detail.tmall.com/item.htm?id=531536010393&skuId=3169905752694&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2189989053&is_b=1
"
防晒衣女2016夏装新款女装印花防晒服透气薄空调衫中长款大码外套
",黑色旋律旗舰店,http://img.alicdn.com/bao/uploaded/i1/TB1lNNLJFXXXXbPaXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,99,http://heisexuanlv.tmall.com,http://detail.tmall.com/item.htm?id=530658925419&skuId=3176613586210&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=1017272183&is_b=1
"
薄款韩版胖mm女士百搭阔腿显瘦热裤
",茜思语旗舰店,http://img.alicdn.com/bao/uploaded/i4/TB1Ac6LHFXXXXcqaXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,69,http://xisiyu.tmall.com,http://detail.tmall.com/item.htm?id=44563634269&skuId=101767452719&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2197109136&is_b=1
"
蜜妃儿夏季韩版高腰牛仔显瘦热裤
",蜜妃儿旗舰店,http://img.alicdn.com/bao/uploaded/i5/TB1Xw.wMXXXXXbRXFXXYXGcGpXX_M2.SS2_b.jpg,48,http://mifeier.tmall.com,http://detail.tmall.com/item.htm?id=529219155327&skuId=3152642212716&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2192876822&is_b=1
"
高腰破洞宽松韩版显瘦学生阔腿牛仔裤
",米阁娜服饰旗舰店,http://img.alicdn.com/bao/uploaded/i2/TB1rxASJXXXXXbpXXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,49,http://migena.tmall.com,http://detail.tmall.com/item.htm?id=528102910145&skuId=3143143611740&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2259007892&is_b=1
"
南极人薄款高腰七分韩版宽松直筒裤
",恒辰服饰专营店,http://img.alicdn.com/bao/uploaded/i3/TB16IwmJVXXXXc5XVXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,49.9,http://hcfushi.tmall.com,http://detail.tmall.com/item.htm?id=528476486593&skuId=3146129918875&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2165738738&is_b=1
"
芸希高腰宽松七分大码薄款阔腿裤
",芸希旗舰店,http://img.alicdn.com/bao/uploaded/i4/TB1lqS3KFXXXXarXVXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,49,http://yunxinz.tmall.com,http://detail.tmall.com/item.htm?id=530804845100&skuId=3169304186026&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2261063492&is_b=1
"
春夏韩版大码宽松七分打底裤
",澳卡狐女装旗舰店,http://img.alicdn.com/bao/uploaded/i2/TB1Pi6QLVXXXXcAXpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,49.9,http://aokahu.tmall.com,http://detail.tmall.com/item.htm?id=527773149468&skuId=3163941867801&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2137074500&is_b=1
